Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest,Date
NIFTY16700CE,13-05-2022 09:15:00,30.0,40.5,30.0,38.5,6750,750900,2022-05-13
NIFTY16700CE,13-05-2022 09:16:00,38.95,39.9,38.2,39.1,16800,750900,2022-05-13
NIFTY16700CE,13-05-2022 09:17:00,39.0,39.65,38.15,38.3,24450,755950,2022-05-13
NIFTY16700CE,13-05-2022 09:18:00,38.45,38.85,37.9,37.95,11850,755950,2022-05-13
NIFTY16700CE,13-05-2022 09:19:00,38.0,38.0,36.9,37.05,11450,755950,2022-05-13
NIFTY16700CE,13-05-2022 09:20:00,36.85,38.0,35.75,37.75,6850,763050,2022-05-13
NIFTY16700CE,13-05-2022 09:21:00,37.6,38.45,37.2,38.1,7700,763050,2022-05-13
NIFTY16700CE,13-05-2022 09:22:00,38.0,39.4,37.95,39.2,5850,763050,2022-05-13
NIFTY16700CE,13-05-2022 09:23:00,39.35,40.25,39.0,40.1,8950,766550,2022-05-13
NIFTY16700CE,13-05-2022 09:24:00,40.6,40.6,39.45,40.3,5900,766550,2022-05-13
NIFTY16700CE,13-05-2022 09:25:00,40.3,41.7,40.05,41.7,3650,766550,2022-05-13
NIFTY16700CE,13-05-2022 09:26:00,41.7,43.35,41.7,42.3,15850,770150,2022-05-13
NIFTY16700CE,13-05-2022 09:27:00,42.1,42.45,41.25,41.4,17950,770150,2022-05-13
NIFTY16700CE,13-05-2022 09:28:00,41.4,42.65,41.05,42.55,8050,770150,2022-05-13
NIFTY16700CE,13-05-2022 09:29:00,42.4,44.35,42.4,44.35,15150,772900,2022-05-13
NIFTY16700CE,13-05-2022 09:30:00,44.45,45.5,44.05,45.0,8300,772900,2022-05-13
NIFTY16700CE,13-05-2022 09:31:00,44.85,45.65,43.9,44.15,9100,772900,2022-05-13
NIFTY16700CE,13-05-2022 09:32:00,44.0,45.3,43.95,45.3,3200,780650,2022-05-13
NIFTY16700CE,13-05-2022 09:33:00,45.15,45.35,44.2,45.2,4600,780650,2022-05-13
NIFTY16700CE,13-05-2022 09:34:00,45.35,45.35,43.6,43.8,9800,780650,2022-05-13
NIFTY16700CE,13-05-2022 09:35:00,43.45,43.8,41.8,42.25,4600,775500,2022-05-13
NIFTY16700CE,13-05-2022 09:36:00,42.05,43.4,41.15,41.45,4250,775500,2022-05-13
NIFTY16700CE,13-05-2022 09:37:00,41.45,42.15,40.75,41.1,10450,775500,2022-05-13
NIFTY16700CE,13-05-2022 09:38:00,41.0,41.4,39.9,40.45,7650,775350,2022-05-13
NIFTY16700CE,13-05-2022 09:39:00,40.35,40.4,38.9,39.1,6600,775350,2022-05-13
NIFTY16700CE,13-05-2022 09:40:00,39.25,39.65,37.05,39.4,16500,775350,2022-05-13
NIFTY16700CE,13-05-2022 09:41:00,39.35,40.5,39.25,39.95,6650,775850,2022-05-13
NIFTY16700CE,13-05-2022 09:42:00,39.95,39.95,39.25,39.65,2150,775850,2022-05-13
NIFTY16700CE,13-05-2022 09:43:00,39.65,40.8,39.3,40.65,3200,775850,2022-05-13
NIFTY16700CE,13-05-2022 09:44:00,40.5,40.65,39.3,39.4,4200,776300,2022-05-13
NIFTY16700CE,13-05-2022 09:45:00,39.4,39.7,38.4,38.85,13800,776300,2022-05-13
NIFTY16700CE,13-05-2022 09:46:00,38.85,39.0,38.45,38.95,2000,776300,2022-05-13
