Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest,Date
NIFTYWK16200CE,08-06-2022 09:15:00,290.0,294.0,259.2,274.35,44600,297300,2022-06-08
NIFTYWK16200CE,08-06-2022 09:16:00,273.4,274.95,259.35,259.35,44250,297300,2022-06-08
NIFTYWK16200CE,08-06-2022 09:17:00,258.6,261.95,250.6,255.7,38950,292950,2022-06-08
NIFTYWK16200CE,08-06-2022 09:18:00,255.0,257.7,248.4,251.05,29550,292950,2022-06-08
NIFTYWK16200CE,08-06-2022 09:19:00,251.7,254.7,249.65,254.1,18350,292950,2022-06-08
NIFTYWK16200CE,08-06-2022 09:20:00,253.75,258.85,247.05,254.0,22400,304600,2022-06-08
NIFTYWK16200CE,08-06-2022 09:21:00,254.05,254.45,247.2,247.65,11050,304600,2022-06-08
NIFTYWK16200CE,08-06-2022 09:22:00,247.65,249.55,242.55,245.3,26900,304600,2022-06-08
NIFTYWK16200CE,08-06-2022 09:23:00,245.3,250.3,242.5,250.3,26250,329450,2022-06-08
NIFTYWK16200CE,08-06-2022 09:24:00,250.35,250.5,244.65,245.15,16050,329450,2022-06-08
NIFTYWK16200CE,08-06-2022 09:25:00,245.45,248.1,243.25,247.3,16400,329450,2022-06-08
NIFTYWK16200CE,08-06-2022 09:26:00,247.55,250.55,246.0,246.0,23550,342550,2022-06-08
NIFTYWK16200CE,08-06-2022 09:27:00,245.0,247.75,243.95,246.1,9650,342550,2022-06-08
NIFTYWK16200CE,08-06-2022 09:28:00,245.55,245.55,237.6,238.3,21950,342550,2022-06-08
NIFTYWK16200CE,08-06-2022 09:29:00,239.0,241.7,235.8,236.75,21100,349750,2022-06-08
NIFTYWK16200CE,08-06-2022 09:30:00,236.75,241.6,235.0,241.0,27450,349750,2022-06-08
NIFTYWK16200CE,08-06-2022 09:31:00,240.15,240.15,234.2,234.2,17100,349750,2022-06-08
NIFTYWK16200CE,08-06-2022 09:32:00,233.65,235.6,231.3,234.3,39600,375000,2022-06-08
NIFTYWK16200CE,08-06-2022 09:33:00,234.1,238.8,232.25,238.0,20600,375000,2022-06-08
NIFTYWK16200CE,08-06-2022 09:34:00,238.5,238.55,231.8,234.8,22200,375000,2022-06-08
NIFTYWK16200CE,08-06-2022 09:35:00,235.8,235.8,229.75,233.2,22000,393100,2022-06-08
NIFTYWK16200CE,08-06-2022 09:36:00,232.9,232.9,223.65,224.0,31800,393100,2022-06-08
NIFTYWK16200CE,08-06-2022 09:37:00,223.0,226.65,220.65,224.05,45000,393100,2022-06-08
NIFTYWK16200CE,08-06-2022 09:38:00,223.15,225.1,221.25,222.75,23100,432000,2022-06-08
NIFTYWK16200CE,08-06-2022 09:39:00,222.2,222.5,214.4,215.7,38850,432000,2022-06-08
NIFTYWK16200CE,08-06-2022 09:40:00,216.2,220.45,210.5,220.45,67350,432000,2022-06-08
NIFTYWK16200CE,08-06-2022 09:41:00,220.4,221.6,213.4,214.5,37350,463950,2022-06-08
NIFTYWK16200CE,08-06-2022 09:42:00,215.25,220.25,214.5,219.65,26200,463950,2022-06-08
NIFTYWK16200CE,08-06-2022 09:43:00,219.5,221.7,216.5,221.0,28300,463950,2022-06-08
NIFTYWK16200CE,08-06-2022 09:44:00,221.7,222.0,217.25,217.75,21700,473450,2022-06-08
NIFTYWK16200CE,08-06-2022 09:45:00,217.8,221.0,217.05,217.95,30000,473450,2022-06-08
NIFTYWK16200CE,08-06-2022 09:46:00,217.75,218.35,214.05,215.25,37800,473450,2022-06-08
NIFTYWK16200CE,08-06-2022 09:47:00,215.25,220.75,215.0,220.75,22850,481300,2022-06-08
NIFTYWK16200CE,08-06-2022 09:48:00,220.75,220.95,217.1,220.95,12700,481300,2022-06-08
NIFTYWK16200CE,08-06-2022 09:49:00,221.0,223.85,218.95,219.0,33750,481300,2022-06-08
NIFTYWK16200CE,08-06-2022 09:50:00,219.0,224.5,218.85,224.5,18700,483300,2022-06-08
NIFTYWK16200CE,08-06-2022 09:51:00,224.55,229.0,223.0,227.1,38250,483300,2022-06-08
