Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest,Date
BANKNIFTYWK40300PE,31-10-2022 09:15:00,91.85,92.55,61.45,66.0,137600,272875,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:16:00,65.2,66.7,57.3,65.4,109650,272875,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:17:00,65.85,85.4,65.7,75.25,139475,324775,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:18:00,76.1,77.0,66.45,67.65,84450,324775,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:19:00,67.45,73.05,65.05,71.6,124925,324775,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:20:00,70.45,71.2,66.8,68.45,90825,313525,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:21:00,67.1,78.0,66.95,76.95,63550,313525,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:22:00,76.8,97.6,74.9,97.6,104825,313525,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:23:00,94.35,94.35,80.05,83.7,128050,351550,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:24:00,83.0,87.55,80.6,87.55,67250,351550,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:25:00,86.75,88.1,83.1,86.1,59750,351550,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:26:00,86.0,86.65,81.3,83.8,34775,393200,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:27:00,83.25,84.7,79.3,82.15,57825,393200,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:28:00,81.1,81.35,76.1,77.0,53275,393200,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:29:00,76.5,78.0,74.15,75.3,50975,407925,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:30:00,74.75,74.75,66.85,69.15,89700,407925,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:31:00,67.45,68.85,64.95,65.75,73025,407925,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:32:00,65.2,65.2,61.9,63.2,89600,416850,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:33:00,63.35,67.15,61.95,63.5,73200,416850,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:34:00,62.75,66.15,62.75,63.65,46875,416850,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:35:00,63.35,67.0,62.9,66.35,51375,388925,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:36:00,65.95,66.3,63.75,63.75,48700,388925,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:37:00,63.35,65.25,62.0,65.2,42950,388925,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:38:00,64.6,66.1,63.85,64.3,43925,397625,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:39:00,64.3,65.45,63.2,64.0,35225,397625,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:40:00,63.85,65.5,63.3,64.7,38200,397625,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:41:00,64.55,70.9,64.15,70.9,59725,400550,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:42:00,71.1,71.1,68.6,69.65,47475,400550,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:43:00,69.8,73.9,69.6,72.95,48000,400550,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:44:00,72.7,73.75,70.65,73.0,27525,421925,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:45:00,72.95,78.4,72.8,77.3,48250,421925,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:46:00,77.1,77.85,73.0,74.85,32450,421925,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:47:00,75.05,76.2,71.05,73.4,30375,417575,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:48:00,73.55,76.95,72.2,76.75,26250,417575,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:49:00,77.0,84.2,76.1,80.0,82200,417575,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:50:00,79.95,81.1,77.0,78.65,40675,414075,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:51:00,78.65,81.75,78.65,79.75,43000,414075,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:52:00,80.0,81.45,78.5,80.45,25100,414075,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:53:00,80.55,84.85,79.9,84.0,49000,419100,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:54:00,83.75,88.8,83.75,87.4,97275,419100,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:55:00,86.95,89.3,84.65,88.45,63175,419100,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:56:00,88.0,88.0,82.8,82.8,36700,404175,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:57:00,82.5,83.8,79.3,82.75,63500,404175,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:58:00,82.8,84.6,80.1,83.4,33750,404175,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 09:59:00,83.55,88.9,83.1,87.85,41475,406725,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:00:00,88.9,90.35,83.7,84.2,62075,406725,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:01:00,84.4,87.9,84.25,85.4,28875,406725,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:02:00,85.5,85.85,81.85,85.0,36150,414200,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:03:00,85.2,85.3,80.5,83.45,42625,414200,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:04:00,83.3,85.05,82.85,83.15,30450,414200,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:05:00,83.1,87.05,82.75,87.0,22775,415250,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:06:00,87.0,87.0,83.0,85.95,36175,415250,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:07:00,86.3,90.55,84.05,86.3,57200,415250,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:08:00,86.95,90.25,86.95,88.2,45975,411950,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:09:00,87.95,92.7,87.95,91.5,51925,411950,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:10:00,91.5,92.4,88.35,89.25,42700,411950,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:11:00,89.8,90.1,86.65,87.5,35050,423850,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:12:00,87.1,87.4,84.95,85.4,33100,423850,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:13:00,85.4,86.6,81.6,81.6,33025,423850,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:14:00,81.6,81.7,77.1,80.05,52375,421750,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:15:00,79.1,79.1,72.9,73.45,83925,421750,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:16:00,73.0,74.65,71.65,74.1,55725,421750,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:17:00,73.9,75.3,73.55,75.15,35950,424050,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:18:00,75.2,77.35,75.0,77.0,21875,424050,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:19:00,77.6,80.5,77.6,79.55,37100,424050,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:20:00,78.4,80.5,77.0,77.2,25700,427650,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:21:00,76.9,82.85,76.85,81.8,37600,427650,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:22:00,80.9,83.25,80.75,81.8,22500,427650,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:23:00,81.2,82.7,80.5,82.1,27950,426000,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:24:00,81.9,83.0,79.75,83.0,22775,426000,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:25:00,83.0,83.35,81.0,82.05,23025,426000,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:26:00,82.3,82.85,81.15,82.45,24750,423650,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:27:00,82.4,84.9,82.0,83.8,31600,423650,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:28:00,83.75,84.15,81.6,82.3,22150,423650,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:29:00,82.05,85.65,82.05,85.4,21575,431450,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:30:00,85.4,86.9,83.95,86.45,28850,431450,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:31:00,86.65,88.0,85.15,86.8,35200,431450,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:32:00,86.5,87.3,83.9,86.9,19475,437425,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:33:00,87.35,87.4,82.55,82.8,28025,437425,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:34:00,83.05,86.2,82.5,85.75,17925,437425,2022-10-31
BANKNIFTYWK40300PE,31-10-2022 10:35:00,85.8,86.15,83.6,85.75,14450,439825,2022-10-31
