Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest,Date
NIFTY15900PE,06-07-2022 09:15:00,370.0,373.75,338.9,340.15,18300,1057300,2022-07-06
NIFTY15900PE,06-07-2022 09:16:00,341.95,347.0,338.85,342.3,22900,1057300,2022-07-06
NIFTY15900PE,06-07-2022 09:17:00,342.65,342.65,335.5,340.3,16150,1039200,2022-07-06
NIFTY15900PE,06-07-2022 09:18:00,340.3,347.35,339.6,345.0,22450,1039200,2022-07-06
NIFTY15900PE,06-07-2022 09:19:00,344.85,346.65,341.95,346.5,7550,1039200,2022-07-06
NIFTY15900PE,06-07-2022 09:20:00,346.5,346.5,335.15,339.85,13900,1021450,2022-07-06
NIFTY15900PE,06-07-2022 09:21:00,339.4,341.0,337.35,340.45,2200,1021450,2022-07-06
NIFTY15900PE,06-07-2022 09:22:00,339.1,339.1,331.45,331.45,7850,1021450,2022-07-06
NIFTY15900PE,06-07-2022 09:23:00,330.0,332.6,329.55,331.55,5300,1019150,2022-07-06
NIFTY15900PE,06-07-2022 09:24:00,332.75,333.2,328.05,328.05,5750,1019150,2022-07-06
NIFTY15900PE,06-07-2022 09:25:00,329.05,331.7,325.8,325.95,14300,1019150,2022-07-06
NIFTY15900PE,06-07-2022 09:26:00,324.25,330.75,323.75,330.1,8300,1028750,2022-07-06
NIFTY15900PE,06-07-2022 09:27:00,329.65,331.0,325.3,325.3,8750,1028750,2022-07-06
NIFTY15900PE,06-07-2022 09:28:00,324.65,328.0,323.05,327.9,9400,1028750,2022-07-06
NIFTY15900PE,06-07-2022 09:29:00,328.6,330.0,324.0,324.7,17250,1026200,2022-07-06
NIFTY15900PE,06-07-2022 09:30:00,323.3,325.55,321.55,325.55,5300,1026200,2022-07-06
NIFTY15900PE,06-07-2022 09:31:00,325.55,330.0,325.4,327.35,5850,1026200,2022-07-06
NIFTY15900PE,06-07-2022 09:32:00,328.35,333.9,328.35,333.9,15250,1033050,2022-07-06
NIFTY15900PE,06-07-2022 09:33:00,332.35,335.4,332.35,334.8,7200,1033050,2022-07-06
NIFTY15900PE,06-07-2022 09:34:00,334.4,335.1,327.3,328.25,17300,1033050,2022-07-06
