Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest,Date
BANKNIFTYWK39300PE,28-10-2022 09:15:00,33.25,35.75,26.0,29.5,72950,163050,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:16:00,29.6,30.1,28.0,29.0,91175,163050,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:17:00,28.9,29.8,28.5,28.8,55850,228075,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:18:00,28.8,29.0,27.1,27.25,34300,228075,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:19:00,27.0,27.0,25.85,25.9,58525,228075,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:20:00,25.55,26.25,24.6,25.2,49650,267150,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:21:00,25.0,26.4,24.85,26.1,53550,267150,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:22:00,26.0,26.55,24.9,25.0,19775,267150,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:23:00,25.25,25.25,24.55,24.75,25750,284325,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:24:00,24.6,25.35,23.6,23.75,26625,284325,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:25:00,23.5,24.0,23.05,23.05,15850,284325,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:26:00,23.0,24.45,23.0,23.15,25700,287325,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:27:00,23.25,23.6,22.9,23.2,46200,287325,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:28:00,23.2,23.85,22.65,23.35,10275,287325,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:29:00,23.35,23.4,22.75,23.15,10750,306575,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:30:00,23.15,23.75,22.65,23.0,15875,306575,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:31:00,23.0,23.7,22.9,23.65,19100,306575,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:32:00,23.65,23.7,23.1,23.25,11450,317700,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:33:00,23.1,23.3,22.6,22.6,4700,317700,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:34:00,22.45,23.1,22.4,22.85,14425,317700,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:35:00,22.85,23.25,22.8,22.8,11050,327625,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:36:00,22.95,23.25,22.6,22.9,11525,327625,2022-10-28
BANKNIFTYWK39300PE,28-10-2022 09:37:00,23.0,23.15,22.7,23.0,8625,327625,2022-10-28
