Ticker,Date/Time,Open,High,Low,Close,Volume,Open Interest,Date
BANKNIFTYWK37800CE,21-03-2022 09:15:00,110.0,111.5,93.3,96.95,59250,90325,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:16:00,97.0,97.0,83.25,85.35,74850,90325,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:17:00,85.35,85.45,77.7,77.7,50450,136600,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:18:00,78.35,84.0,77.7,79.7,44700,136600,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:19:00,80.0,82.1,77.9,77.9,29275,136600,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:20:00,77.6,78.45,73.75,78.25,41475,170425,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:21:00,77.4,78.3,74.7,77.3,38500,170425,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:22:00,77.15,78.5,75.35,76.4,18150,170425,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:23:00,75.85,79.35,74.25,78.3,26150,180125,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:24:00,79.1,79.75,77.5,77.9,30325,180125,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:25:00,77.95,81.0,76.5,80.05,31200,180125,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:26:00,80.35,83.0,79.4,82.65,25925,188275,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:27:00,83.1,83.3,79.4,81.55,37625,188275,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:28:00,81.2,84.85,80.75,82.7,28250,188275,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:29:00,83.0,83.0,79.55,79.95,27875,193425,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:30:00,79.15,79.15,75.25,75.8,28775,193425,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:31:00,76.25,76.5,74.05,75.85,33500,193425,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:32:00,75.85,76.5,73.65,74.55,23400,219525,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:33:00,74.15,75.2,73.25,73.25,23825,219525,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:34:00,72.45,72.7,67.2,67.9,34600,219525,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:35:00,67.45,70.25,66.35,68.35,25925,241575,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:36:00,68.35,71.25,67.6,70.0,15925,241575,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:37:00,70.45,71.9,68.8,70.6,15600,241575,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:38:00,71.0,71.15,66.75,66.75,14400,245100,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:39:00,66.65,68.65,66.5,67.75,20900,245100,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:40:00,68.05,68.05,65.65,65.65,41525,245100,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:41:00,65.65,67.75,64.75,67.5,28650,251800,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:42:00,68.0,69.3,67.0,69.3,10600,251800,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:43:00,69.3,69.75,67.0,67.6,11500,251800,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:44:00,67.65,67.8,65.7,65.7,12550,254150,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:45:00,66.25,66.25,63.95,64.9,14025,254150,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:46:00,65.25,67.85,64.75,67.85,12100,254150,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:47:00,67.5,68.7,64.3,64.75,11925,256650,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:48:00,64.25,66.0,64.2,65.35,7075,256650,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:49:00,65.1,65.45,63.05,64.5,10075,256650,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:50:00,64.4,65.95,63.0,64.9,18025,259100,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:51:00,65.0,65.55,63.75,65.55,6475,259100,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:52:00,65.5,65.75,63.3,64.15,9350,259100,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:53:00,64.25,64.55,62.65,62.65,19525,262075,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:54:00,62.5,62.5,60.95,61.75,28525,262075,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:55:00,61.3,63.0,60.55,62.1,18500,262075,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:56:00,62.1,62.75,61.1,62.15,15550,280075,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:57:00,62.1,65.0,62.1,64.95,18750,280075,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:58:00,64.95,64.95,61.65,61.65,19550,280075,2022-03-21
BANKNIFTYWK37800CE,21-03-2022 09:59:00,61.55,62.15,59.0,59.6,19900,290150,2022-03-21
